City of Publication,City of Origin,Weight,Years
New York City,Utrecht,5,1759
New York City,Utrecht,2,1764
New York City,Utrecht,3,1789
Newport,Utrecht,1,1789
"Norwich, CT",Utrecht,1,1789
Philadelphia,Utrecht,5,1759
"Portsmouth, NH",Utrecht,1,1759
"Portsmouth, NH",Utrecht,1,1764
"Portsmouth, NH",Utrecht,1,1789
Salem,Utrecht,1,1784
Salem,Utrecht,1,1789
"Albany, NY",Vienna,1,1804
"Alexandria, VA",Vienna,5,1804
Baltimore,Vienna,3,1804
Bennington,Vienna,1,1789
Bennington,Vienna,3,1799
Boston,Vienna,1,1789
Boston,Vienna,19,1799
Boston,Vienna,2,1804
Carlisle,Vienna,2,1804
Charleston,Vienna,6,1799
Charleston,Vienna,2,1804
Concord,Vienna,2,1799
District of Columbia,Vienna,2,1804
"Elizabethtown, NJ",Vienna,3,1799
"Elizabethtown, NJ",Vienna,1,1804
"Greenfield, MA",Vienna,1,1804
"Hanover, NH",Vienna,1,1804
Harrisburg,Vienna,1,1804
Hartford,Vienna,1,1789
Hartford,Vienna,5,1799
Hartford,Vienna,2,1804
Keene,Vienna,1,1804
Litchfield,Vienna,6,1799
Litchfield,Vienna,1,1804
Middletown,Vienna,1,1799
Middletown,Vienna,1,1804
New Haven,Vienna,1,1789
New Haven,Vienna,1,1799
New Haven,Vienna,1,1804
New London,Vienna,1,1789
New London,Vienna,1,1799
New York City,Vienna,1,1764
New York City,Vienna,2,1789
New York City,Vienna,14,1799
New York City,Vienna,6,1804
Newport,Vienna,1,1799
Newport,Vienna,1,1804
Northampton,Vienna,2,1804
"Norwich, CT",Vienna,5,1799
"Otsego, NY",Vienna,3,1799
"Otsego, NY",Vienna,1,1804
Philadelphia,Vienna,3,1789
Philadelphia,Vienna,33,1799
Philadelphia,Vienna,7,1804
"Pittsfield, MA",Vienna,1,1804
"Portland, ME",Vienna,3,1804
"Portsmouth, NH",Vienna,7,1799
"Portsmouth, NH",Vienna,1,1804
Providence,Vienna,2,1799
"Rutland, Vermont",Vienna,3,1799
Salem,Vienna,2,1799
Salem,Vienna,1,1804
Savannah,Vienna,1,1799
Springfield,Vienna,1,1804
Walpole,Vienna,2,1804
"Windham, MA",Vienna,2,1799
"Windsor, VT",Vienna,3,1799
"Worcester, MA",Vienna,1,1799
Philadelphia,Westmoreland,1,1794
Hartford,Wexford,1,1799
"Windham, MA",Wexford,2,1799
Boston,York,1,1774
Hartford,York,1,1769
New York City,Zweibrucken,1,1789
Philadelphia,Zweibrucken,1,1789
Salem,Zweibrucken,1,1789
