Description,Author,Recipient,Date,Year,Location,Origin,Destination
"1517: Dürer, Albrecht, 1471-1528 (Nuremberg, Bavaria, Germany) to Fürer, Christoph, fl. 1517 ~ Fürer, Siegmund, fl. 1517 ~ Tucher, Apollonia, fl. 1514-1526 (Kloster Gnadenberg, Gnadenberg, Bavaria, Germany)","Dürer, Albrecht, 1471-1528","Fürer, Christoph, fl. 1517; Fürer, Siegmund, fl. 1517; Tucher, Apollonia, fl. 1514-1526",1517-12-31T00:00:00Z,1517,"Stadtarchiv Nürnberg, Das Stadtarchiv Nürnberg
Nuremberg Stadtarchiv
Stadtarchiv Nurnberg, Nuremberg, Nürnberg
Nurnberg, Germany","Nuremberg, Bavaria, Germany","Kloster Gnadenberg, Gnadenberg, Bavaria, Germany"
"29 Dec 1518 to 3 Jan 1519: Pirckheimer, Willibald, 1470-1530 (Nuremberg, Bavaria, Germany) to Pirckheimer, Caritas, 1467-1532 (Klarissenkloster St Klara, Nuremberg, Bavaria, Germany)","Pirckheimer, Willibald, 1470-1530","Pirckheimer, Caritas, 1467-1532",1519-01-03T00:00:00Z,1518,,"Nuremberg, Bavaria, Germany","Klarissenkloster St Klara, Nuremberg, Bavaria, Germany"
"22 Dec 1519: Cochlaeus, Ioannes, 1479-1552 (Nuremberg, Bavaria, Germany) to Pirckheimer, Caritas, 1467-1532","Cochlaeus, Ioannes, 1479-1552","Pirckheimer, Caritas, 1467-1532",1519-12-22T00:00:00Z,1519,,"Nuremberg, Bavaria, Germany",
"23 Dec 1519: Pirckheimer, Willibald, 1470-1530 (Nuremberg, Bavaria, Germany) to Pirckheimer, Caritas, 1467-1532 (Klarissenkloster St Klara, Nuremberg, Bavaria, Germany)","Pirckheimer, Willibald, 1470-1530","Pirckheimer, Caritas, 1467-1532",1519-12-23T00:00:00Z,1519,,"Nuremberg, Bavaria, Germany","Klarissenkloster St Klara, Nuremberg, Bavaria, Germany"
"11 Mar 1521: Nützel, Kaspar, 1471-1529 (Worms, Rheinland-Pfalz, Germany) to Pirckheimer, Caritas, 1467-1532","Nützel, Kaspar, 1471-1529","Pirckheimer, Caritas, 1467-1532",1521-03-11T00:00:00Z,1521,,"Worms, Rheinland-Pfalz, Germany",
"1 Jun 1524 to 10 Jun 1524: Pirckheimer, Willibald, 1470-1530 (Nuremberg, Bavaria, Germany) to Pirckheimer, Katharina (the younger), 1498-1563 (Klarissenkloster St Klara, Nuremberg, Bavaria, Germany)","Pirckheimer, Willibald, 1470-1530","Pirckheimer, Katharina (the younger), 1498-1563",1524-06-10T00:00:00Z,1524,,"Nuremberg, Bavaria, Germany","Klarissenkloster St Klara, Nuremberg, Bavaria, Germany"
"5 Jun 1525: Grumbach, Georg von, 1517-1539 (Nuremberg, Bavaria, Germany) to Grumbach, Argula von, 1492-1554","Grumbach, Georg von, 1517-1539","Grumbach, Argula von, 1492-1554",1525-06-05T00:00:00Z,1525,"Bayerisches Hauptstaatsarchiv, Staatlichen Archive Bayerns
Bayerisches Staatsarchiv München
Hauptstaatsarchiv, Geheimes Hausarchiv, Munich, München
Muenchen, Germany","Nuremberg, Bavaria, Germany",
"4 Dec 1527 to 5 Dec 1527: Pirckheimer, Willibald, 1470-1530 (Nuremberg, Bavaria, Germany) to Pirckheimer, Sabina, 1482-1529 (Bergen Abbey, Bergen bei Neuburg, Neuburg an der Donau, Bavaria, Germany)","Pirckheimer, Willibald, 1470-1530","Pirckheimer, Sabina, 1482-1529",1527-12-05T00:00:00Z,1527,,"Nuremberg, Bavaria, Germany","Bergen Abbey, Bergen bei Neuburg, Neuburg an der Donau, Bavaria, Germany"
"1 May 1528 to 31 May 1528: Pirckheimer, Willibald, 1470-1530 (Nuremberg, Bavaria, Germany) to Pirckheimer, Caritas, 1467-1532 ~ Pirckheimer, Caritas (the younger), 1503-1554 ~ Pirckheimer, Eufemia, 1486-1547 ~ Pirckheimer, Katharina (the elder), b.1476 ~ Pirckheimer, Katharina (the younger), 1498-1563 ~ Pirckheimer, Klara, 1480-1533 ~ Pirckheimer, Walburg, 1468-1541 ~ Pirckheimer, Sabina, 1482-1529 (Klarissenkloster St Klara, Nuremberg, Bavaria, Germany)","Pirckheimer, Willibald, 1470-1530","Pirckheimer, Caritas (the younger), 1503-1554; Pirckheimer, Caritas, 1467-1532; Pirckheimer, Eufemia, 1486-1547; Pirckheimer, Katharina (the elder), b.1476; Pirckheimer, Katharina (the younger), 1498-1563; Pirckheimer, Klara, 1480-1533; Pirckheimer, Sabina, 1482-1529; Pirckheimer, Walburg, 1468-1541",1528-05-31T00:00:00Z,1528,,"Nuremberg, Bavaria, Germany","Klarissenkloster St Klara, Nuremberg, Bavaria, Germany"
"10 Feb 1529: Ketzmann, Johann, 1487-1542 (Nuremberg, Bavaria, Germany) to Grumbach, Argula von, 1492-1554","Ketzmann, Johann, 1487-1542","Grumbach, Argula von, 1492-1554",1529-02-10T00:00:00Z,1529,"Bayerisches Hauptstaatsarchiv, Staatlichen Archive Bayerns
Bayerisches Staatsarchiv München
Hauptstaatsarchiv, Geheimes Hausarchiv, Munich, München
Muenchen, Germany","Nuremberg, Bavaria, Germany",
"6 Sep 1529: Erasmus, Desiderius, 1466-1536 (Freiburg, Baden-Württemberg, Germany) to Roper, Margaret, 1505-1544 (Chelsea, London, England)","Erasmus, Desiderius, 1466-1536","Roper, Margaret, 1505-1544",1529-09-06T00:00:00Z,1529,,"Freiburg, Baden-Württemberg, Germany","Chelsea, London, England"
"10 Jan 1530 to 20 Jan 1530: Pirckheimer, Willibald, 1470-1530 (Nuremberg, Bavaria, Germany) to Pirckheimer, Eufemia, 1486-1547 (Bergen Abbey, Bergen bei Neuburg, Neuburg an der Donau, Bavaria, Germany)","Pirckheimer, Willibald, 1470-1530","Pirckheimer, Eufemia, 1486-1547",1530-01-20T00:00:00Z,1530,,"Nuremberg, Bavaria, Germany","Bergen Abbey, Bergen bei Neuburg, Neuburg an der Donau, Bavaria, Germany"
"26 May 1530: Althamer, Andreas, 1500-1539 (Ansbach, Bavaria, Germany) to Grumbach, Argula von, 1492-1554","Althamer, Andreas, 1500-1539","Grumbach, Argula von, 1492-1554",1530-05-26T00:00:00Z,1530,"Bayerisches Hauptstaatsarchiv, Staatlichen Archive Bayerns
Bayerisches Staatsarchiv München
Hauptstaatsarchiv, Geheimes Hausarchiv, Munich, München
Muenchen, Germany","Ansbach, Bavaria, Germany",
"9 Jul 1530: Erasmus, Desiderius, 1466-1536 (Freiburg, Baden-Württemberg, Germany) to Mary of Hungary, 1505-1558 (Augsburg, Bavaria, Germany)","Erasmus, Desiderius, 1466-1536","Mary of Hungary, 1505-1558",1530-07-09T00:00:00Z,1530,,"Freiburg, Baden-Württemberg, Germany","Augsburg, Bavaria, Germany"
"12 Dec 1531: Erasmus, Desiderius, 1466-1536 (Freiburg, Baden-Württemberg, Germany) to Mary of Hungary, 1505-1558 (Brussels, Brussels Capital Region, Belgium)","Erasmus, Desiderius, 1466-1536","Mary of Hungary, 1505-1558",1531-12-12T00:00:00Z,1531,,"Freiburg, Baden-Württemberg, Germany","Brussels, Brussels Capital Region, Belgium"
"13 Mar 1532: Grumbach, Georg von, 1517-1539 (Ingolstadt, Bavaria, Germany, (Holy Roman Empire)) to Grumbach, Argula von, 1492-1554","Grumbach, Georg von, 1517-1539","Grumbach, Argula von, 1492-1554",1532-03-13T00:00:00Z,1532,"Bayerisches Hauptstaatsarchiv, Staatlichen Archive Bayerns
Bayerisches Staatsarchiv München
Hauptstaatsarchiv, Geheimes Hausarchiv, Munich, München
Muenchen, Germany","Ingolstadt, Bavaria, Germany, (Holy Roman Empire)",
"15 Mar 1532: Grumbach, Georg von, 1517-1539 (Ingolstadt, Bavaria, Germany, (Holy Roman Empire)) to Grumbach, Argula von, 1492-1554","Grumbach, Georg von, 1517-1539","Grumbach, Argula von, 1492-1554",1532-03-15T00:00:00Z,1532,"Bayerisches Hauptstaatsarchiv, Staatlichen Archive Bayerns
Bayerisches Staatsarchiv München
Hauptstaatsarchiv, Geheimes Hausarchiv, Munich, München
Muenchen, Germany","Ingolstadt, Bavaria, Germany, (Holy Roman Empire)",
"7 Jul 1532: Dantiscus, Ioannes, 1485-1548 (Regensburg, Bavaria, Germany) to Sforza, Bona, Queen of Poland, 1494-1557","Dantiscus, Ioannes, 1485-1548","Sforza, Bona, Queen of Poland, 1494-1557",1532-07-07T00:00:00Z,1532,,"Regensburg, Bavaria, Germany",
"1532: Grumbach, Georg von, 1517-1539 (Burggrumbach, Bavaria, Germany) to Grumbach, Argula von, 1492-1554","Grumbach, Georg von, 1517-1539","Grumbach, Argula von, 1492-1554",1532-12-31T00:00:00Z,1532,"Bayerisches Hauptstaatsarchiv, Staatlichen Archive Bayerns
Bayerisches Staatsarchiv München
Hauptstaatsarchiv, Geheimes Hausarchiv, Munich, München
Muenchen, Germany","Burggrumbach, Bavaria, Germany",
"19 Feb 1533: Geissler, Nicholas, fl. 1533 (Leipzig, Saxony, Germany) to Grumbach, Argula von, 1492-1554","Geissler, Nicholas, fl. 1533","Grumbach, Argula von, 1492-1554",1533-02-19T00:00:00Z,1533,"Bayerisches Hauptstaatsarchiv, Staatlichen Archive Bayerns
Bayerisches Staatsarchiv München
Hauptstaatsarchiv, Geheimes Hausarchiv, Munich, München
Muenchen, Germany","Leipzig, Saxony, Germany",
"1 Jun 1533: Erasmus, Desiderius, 1466-1536 (Freiburg, Baden-Württemberg, Germany) to Mary of Hungary, 1505-1558 (Brussels, Brussels Capital Region, Belgium)","Erasmus, Desiderius, 1466-1536","Mary of Hungary, 1505-1558",1533-06-01T00:00:00Z,1533,,"Freiburg, Baden-Württemberg, Germany","Brussels, Brussels Capital Region, Belgium"
"18 Dec 1533: Eck, Johann Maier von, 1486-1543 (Ingolstadt, Bavaria, Germany, (Holy Roman Empire)) to Grumbach, Argula von, 1492-1554","Eck, Johann Maier von, 1486-1543","Grumbach, Argula von, 1492-1554",1533-12-18T00:00:00Z,1533,"Bayerisches Hauptstaatsarchiv, Staatlichen Archive Bayerns
Bayerisches Staatsarchiv München
Hauptstaatsarchiv, Geheimes Hausarchiv, Munich, München
Muenchen, Germany","Ingolstadt, Bavaria, Germany, (Holy Roman Empire)",
"18 Dec 1533: Eck, Johann Maier von, 1486-1543 (Ingolstadt, Bavaria, Germany, (Holy Roman Empire)) to Grumbach, Argula von, 1492-1554","Eck, Johann Maier von, 1486-1543","Grumbach, Argula von, 1492-1554",1533-12-18T00:00:00Z,1533,"Bayerisches Hauptstaatsarchiv, Staatlichen Archive Bayerns
Bayerisches Staatsarchiv München
Hauptstaatsarchiv, Geheimes Hausarchiv, Munich, München
Muenchen, Germany","Ingolstadt, Bavaria, Germany, (Holy Roman Empire)",
"15 Jul 1538: Grumbach, Gottfried von, 1523-1554 or after (Nuremberg, Bavaria, Germany) to Grumbach, Argula von, 1492-1554","Grumbach, Gottfried von, 1523-1554 or after","Grumbach, Argula von, 1492-1554",1538-07-15T00:00:00Z,1538,"Bayerisches Hauptstaatsarchiv, Staatlichen Archive Bayerns
Bayerisches Staatsarchiv München
Hauptstaatsarchiv, Geheimes Hausarchiv, Munich, München
Muenchen, Germany","Nuremberg, Bavaria, Germany",
"25 Jul 1539: Ruchhamer, Antoninus, fl. 1539 (Leipzig, Saxony, Germany) to Grumbach, Argula von, 1492-1554","Ruchhamer, Antoninus, fl. 1539","Grumbach, Argula von, 1492-1554",1539-07-25T00:00:00Z,1539,"Bayerisches Hauptstaatsarchiv, Staatlichen Archive Bayerns
Bayerisches Staatsarchiv München
Hauptstaatsarchiv, Geheimes Hausarchiv, Munich, München
Muenchen, Germany","Leipzig, Saxony, Germany",
